palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
coger,🍆😳,Doble sentido ⚠️,tomar / agarrar,tener sexo (vulgar) ⚠️,tomar / agarrar,tomar / agarrar,tomar / agarrar,tener sexo (vulgar) ⚠️,tomar / agarrar,tomar / agarrar,tomar / agarrar,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tomar / agarrar,tener sexo (vulgar) ⚠️,tomar / agarrar,tomar / agarrar,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tener sexo (vulgar) ⚠️,tomar / agarrar
concha,🐚🙈,Doble sentido ⚠️,caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),caparazón de mar / pan dulce (MX),genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,caparazón de mar / pan dulce (MX)
verga,🍆🔥,Doble sentido ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,"muletilla / 'a la verga' (sorpresa, enojo)",'estar verga' = estar bien/borracho,'estar verga' = estar bien/borracho,"muletilla / 'a la verga' (sorpresa, enojo)",genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,"muletilla / 'a la verga' (sorpresa, enojo)",genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️
pija,💅😏,Doble sentido ⚠️,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,persona fresa / snob,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,genital masculino (vulgar) ⚠️,persona fresa / snob,persona fresa / snob
bicho,🐛😏,Doble sentido ⚠️,persona astuta/mala,insecto / animalito,insecto / animalito,niño/chico,niño/chico,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,genital masculino (vulgar) ⚠️,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito,insecto / animalito
papaya,🟠🙊,Doble sentido ⚠️,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta,genital femenino (vulgar) ⚠️,fruta,fruta,algo fácil,'dar papaya' = exponerse al peligro,fruta,fruta,fruta,fruta,fruta,fruta,fruta,fruta
chucha,😬🙊,Doble sentido ⚠️,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,mal olor / axila,interjección de fastidio/frío,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,interjección de fastidio/frío,interjección de fastidio/frío,interjección de fastidio/frío,perro,genital femenino (vulgar) ⚠️,interjección de fastidio/frío
cuca,🍪😶,Doble sentido ⚠️,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,genital femenino (vulgar) ⚠️,galleta / dulce,galleta / dulce,genital femenino (vulgar) ⚠️,genital femenino (vulgar) ⚠️,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,galleta / dulce,bicicleta / energía,galleta / dulce,galleta / dulce
pendejo,🤦,Insulto / persona,vello púbico (literal) ⚠️,vello púbico (literal) ⚠️,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,tonto / idiota,cobarde,cobarde,tonto / idiota,persona astuta/vivo,tonto / idiota,tonto / idiota,niño / joven,niño / joven,tonto / idiota,tonto / idiota
huevón,🥚😴,Insulto / persona,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,'güevón' = tonto cariñoso,tonto,tonto,tonto,flojo / perezoso,flojo / perezoso,flojo / perezoso,flojo / perezoso,amigo / 'weón' (muletilla),flojo / perezoso
